workout_log_id,member_id,workout_date,workout_time,exercise_name,exercise_type,muscle_group,difficulty,sets_completed,reps_per_set,weight_kg,duration_minutes,calories_burned,intensity_level,heart_rate_avg,notes
WL00002593,MEM000844,2024-02-21,08:10:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,4,15,45.1,57,218.6,High,170.0,Challenging but rewarding
WL00002594,MEM001745,2024-01-24,21:06:00,Glute bridge,strength,glutes,intermediate,5,8,98.2,15,101.7,Low,,
WL00002595,MEM000378,2024-05-19,08:51:00,Weighted pull-up,strength,lats,intermediate,2,16,88.3,89,318.4,High,113.0,Good progress
WL00002596,MEM001769,2024-01-02,07:45:00,Seated Cable Rows,strength,middle_back,intermediate,4,18,13.6,59,181.2,Moderate,134.0,Challenging but rewarding
WL00002597,MEM002201,2024-11-18,18:16:00,Standing Calf Raises,strength,calves,beginner,4,17,28.4,66,497.9,Low,123.0,Felt strong today
WL00002598,MEM000321,2024-07-29,13:44:00,Neck-SMR,stretching,neck,intermediate,4,13,0.0,32,147.2,Moderate,173.0,
WL00002599,MEM001971,2024-04-01,14:08:00,Partner Flat-Bench Back Extension,strength,lower_back,beginner,4,11,35.7,65,199.3,High,103.0,Personal best!
WL00002600,MEM001526,2024-02-12,12:59:00,Dumbbell Bench Press,strength,chest,intermediate,5,10,107.6,50,184.6,Very High,167.0,
WL00002601,MEM000983,2024-06-21,10:01:00,Cable Crossover,strength,chest,intermediate,3,13,120.1,70,386.1,Low,170.0,
WL00002602,MEM001542,2024-10-08,13:56:00,Elbow-to-knee crunch,strength,abdominals,intermediate,2,8,27.1,64,316.7,Moderate,168.0,Great workout!
WL00002603,MEM000237,2024-11-05,05:38:00,Standing Dumbbell Shrug - Gethin Variation,strength,traps,intermediate,5,6,28.4,74,439.2,Very High,131.0,Good progress
WL00002604,MEM000731,2024-02-21,15:41:00,Barbell back squat to box,powerlifting,quadriceps,intermediate,4,15,0.0,24,81.0,Moderate,130.0,Great workout!
WL00002605,MEM000075,2024-08-13,12:31:00,Incline Hammer Curls,strength,biceps,beginner,2,8,102.3,59,441.1,Very High,100.0,Personal best!
WL00002606,MEM000080,2024-07-18,20:58:00,Side-lying leg adduction scissor,strength,adductors,intermediate,2,10,135.2,45,240.2,High,170.0,Challenging but rewarding
WL00002607,MEM000434,2024-04-02,08:20:00,Weighted bench dip,strength,triceps,intermediate,4,9,72.7,78,288.0,Moderate,130.0,Felt strong today
WL00002608,MEM000682,2024-01-13,17:36:00,Dynamic pigeon stretch,strength,abductors,intermediate,2,9,139.1,38,178.0,Very High,134.0,Challenging but rewarding
WL00002609,MEM000052,2024-05-08,08:22:00,Straight-bar wrist roll-up,strength,forearms,intermediate,2,9,139.0,45,150.7,Low,176.0,Challenging but rewarding
WL00002610,MEM000373,2024-09-14,14:10:00,Machine low row-,strength,traps,intermediate,3,15,47.1,84,567.2,Moderate,152.0,
WL00002611,MEM001131,2024-08-09,05:13:00,Romanian Deadlift With Dumbbells,strength,hamstrings,beginner,3,7,58.4,42,129.7,High,172.0,Great workout!
WL00002612,MEM002189,2024-05-06,17:27:00,Triceps Pushdown - Rope Attachment,strength,triceps,intermediate,2,11,124.0,58,230.8,Very High,111.0,Felt strong today
WL00002613,MEM001533,2024-07-24,14:20:00,Reverse Band Box Squat,powerlifting,quadriceps,intermediate,4,12,0.0,40,185.7,Moderate,123.0,Personal best!
WL00002614,MEM001944,2024-11-23,14:32:00,Weighted pull-up,strength,lats,intermediate,3,9,25.2,56,360.3,High,123.0,
WL00002615,MEM001364,2024-10-31,18:22:00,Reverse Grip Triceps Pushdown,strength,triceps,intermediate,5,18,93.8,42,275.5,Very High,158.0,Good progress
WL00002616,MEM002114,2024-10-08,20:00:00,Spider crawl,strength,abdominals,intermediate,3,16,37.1,37,133.1,Very High,137.0,Great workout!
WL00002617,MEM002096,2024-08-09,06:09:00,Shotgun row,strength,lats,intermediate,4,7,25.8,24,110.8,High,133.0,Challenging but rewarding
WL00002618,MEM001981,2024-09-14,05:06:00,Seated Head Harness Neck Resistance,strength,neck,beginner,3,6,133.1,72,536.4,Very High,125.0,Felt strong today
WL00002619,MEM001048,2024-09-11,08:55:00,EZ-Bar Skullcrusher,strength,triceps,intermediate,2,9,99.4,88,314.6,Low,144.0,Felt strong today
WL00002620,MEM000663,2024-07-13,10:29:00,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,forearms,beginner,5,9,124.1,67,514.0,Moderate,109.0,Felt strong today
WL00002621,MEM002204,2024-07-26,20:26:00,One-Arm Long Bar Row,strength,middle_back,intermediate,4,16,50.4,51,204.7,Very High,178.0,Challenging but rewarding
WL00002622,MEM002209,2024-09-02,10:24:00,Side Neck Stretch,stretching,neck,intermediate,4,12,0.0,76,467.2,Very High,124.0,Great workout!
WL00002623,MEM000127,2024-02-15,22:47:00,Cable Crossover,strength,chest,intermediate,3,9,37.0,77,467.8,Moderate,112.0,Challenging but rewarding
WL00002624,MEM001744,2024-01-01,17:04:00,Glute ham raise-,strength,hamstrings,beginner,3,16,142.7,76,273.8,High,177.0,Good progress
WL00002625,MEM002496,2024-11-15,19:22:00,Muscle Up,strength,lats,intermediate,2,19,83.3,30,136.2,Very High,115.0,Challenging but rewarding
WL00002626,MEM001498,2024-01-22,09:25:00,Dumbbell Bench Press,strength,chest,intermediate,3,14,46.1,56,440.9,Low,153.0,Personal best!
WL00002627,MEM001351,2024-04-04,17:04:00,Dumbbell floor press,powerlifting,triceps,intermediate,3,14,0.0,73,425.7,High,110.0,Great workout!
WL00002628,MEM002026,2024-10-16,11:10:00,EZ-Bar Skullcrusher,strength,triceps,intermediate,5,12,15.1,62,376.7,High,157.0,Personal best!
WL00002629,MEM000992,2024-11-02,06:27:00,Single-arm inverted row,strength,traps,intermediate,2,20,84.3,57,398.1,Low,124.0,Great workout!
WL00002630,MEM001727,2024-04-23,07:05:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,4,17,113.5,76,507.9,Moderate,106.0,Felt strong today
WL00002631,MEM000549,2024-08-28,21:40:00,Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,3,6,0.0,32,240.6,High,173.0,Good progress
WL00002632,MEM001236,2024-02-19,09:12:00,Landmine twist,strength,abdominals,intermediate,3,15,95.8,19,101.1,Low,,Felt strong today
WL00002633,MEM000063,2024-05-04,22:39:00,Incline Hammer Curls,strength,biceps,beginner,4,17,85.3,43,177.2,High,108.0,Great workout!
WL00002634,MEM001064,2024-03-02,20:58:00,Lying Face Up Plate Neck Resistance,strength,neck,beginner,3,16,115.9,89,488.2,Moderate,169.0,
WL00002635,MEM000420,2024-08-22,19:34:00,Glute Bridge Hamstring Walkout,strength,glutes,intermediate,3,13,84.9,74,366.3,Moderate,131.0,Challenging but rewarding
WL00002636,MEM001984,2024-01-04,18:21:00,Incline Hammer Curls,strength,biceps,beginner,4,8,23.9,64,451.1,Low,138.0,Good progress
WL00002637,MEM000295,2024-05-13,17:09:00,Standing Dumbbell Calf Raise,strength,calves,intermediate,5,11,71.6,40,124.7,Low,148.0,Personal best!
WL00002638,MEM001528,2024-02-03,08:37:00,Dumbbell spell caster,strength,abdominals,beginner,4,16,103.1,86,531.5,Very High,118.0,Great workout!
WL00002639,MEM002091,2024-03-29,12:59:00,Incline dumbbell row,strength,middle_back,intermediate,2,7,35.2,15,83.8,Moderate,,Personal best!
WL00002640,MEM002367,2024-03-02,07:44:00,Traveling thigh killa,strength,abductors,intermediate,4,20,17.2,85,304.4,Very High,175.0,Challenging but rewarding
WL00002641,MEM000917,2024-05-07,13:36:00,Neck Bridge Prone,strength,neck,beginner,3,6,95.7,15,119.9,High,,Great workout!
WL00002642,MEM001850,2024-05-24,10:36:00,Seated finger curl,strength,forearms,beginner,4,9,127.8,36,187.4,Low,118.0,
WL00002643,MEM002285,2024-09-23,18:05:00,Low-cable cross-over,strength,chest,intermediate,4,16,43.2,29,202.4,Very High,175.0,Felt strong today
WL00002644,MEM001535,2024-12-16,21:49:00,Glute bridge,strength,glutes,intermediate,5,18,30.9,22,123.2,High,114.0,
WL00002645,MEM000506,2024-11-29,20:00:00,Neck Bridge Prone,strength,neck,beginner,5,9,24.2,79,278.0,High,161.0,
WL00002646,MEM001497,2024-12-06,10:11:00,Seated barbell shoulder press,strength,shoulders,intermediate,4,7,10.5,75,379.1,Very High,142.0,Personal best!
WL00002647,MEM002329,2024-05-17,22:13:00,Barbell deficit deadlift,powerlifting,lower_back,beginner,2,17,0.0,56,204.0,High,110.0,Challenging but rewarding
WL00002648,MEM000475,2024-04-29,13:45:00,Military press,strength,shoulders,intermediate,4,13,80.0,30,151.7,Very High,152.0,Personal best!
WL00002649,MEM001071,2024-05-20,06:50:00,Dumbbell floor press,powerlifting,triceps,intermediate,5,7,0.0,39,150.3,Low,107.0,Felt strong today
WL00002650,MEM001304,2024-11-05,15:43:00,Barbell glute bridge,powerlifting,glutes,intermediate,2,11,0.0,81,555.8,Low,112.0,Personal best!
WL00002651,MEM002197,2024-07-07,06:06:00,Power Snatch,olympic_weightlifting,hamstrings,beginner,2,20,0.0,30,214.0,High,149.0,Great workout!
WL00002652,MEM001157,2024-03-08,17:32:00,Single-arm cable triceps extension,strength,triceps,intermediate,3,18,113.1,46,342.7,Moderate,165.0,Personal best!
WL00002653,MEM000447,2024-01-08,09:44:00,Suspended ab fall-out,strength,abdominals,intermediate,2,18,44.2,21,119.5,Moderate,143.0,Challenging but rewarding
WL00002654,MEM000262,2024-04-26,09:28:00,FYR Thigh Killa,strength,abductors,intermediate,2,12,76.8,63,313.5,Low,150.0,Personal best!
WL00002655,MEM001277,2024-10-25,19:32:00,Close-grip bench press,strength,chest,intermediate,3,13,81.7,86,497.1,Very High,111.0,Personal best!
WL00002656,MEM001622,2024-02-09,19:47:00,Flexor Incline Dumbbell Curls,strength,biceps,beginner,3,19,143.4,44,199.6,Low,144.0,Great workout!
WL00002657,MEM002267,2024-01-07,22:01:00,Dumbbell floor press,powerlifting,triceps,intermediate,4,13,0.0,44,350.1,Moderate,166.0,Felt strong today
WL00002658,MEM000127,2024-02-18,10:19:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,3,7,107.1,53,381.2,Low,138.0,
WL00002659,MEM000024,2024-04-29,19:34:00,Standing hip circle,stretching,abductors,intermediate,2,10,0.0,52,236.4,High,118.0,Good progress
WL00002660,MEM001284,2024-10-15,07:37:00,Standing dumbbell shoulder press,strength,shoulders,intermediate,5,9,48.5,17,115.7,Very High,,Challenging but rewarding
WL00002661,MEM002330,2024-09-26,08:39:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,3,9,45.1,15,49.6,High,,Great workout!
WL00002662,MEM001636,2024-12-07,17:54:00,Close-grip bench press,strength,chest,intermediate,2,9,96.3,42,131.5,Very High,109.0,Challenging but rewarding
WL00002663,MEM001071,2024-01-03,17:35:00,Standing dumbbell upright row,strength,traps,intermediate,5,17,139.8,64,411.3,High,152.0,Good progress
WL00002664,MEM001306,2024-10-02,21:31:00,Partner Flat-Bench Back Extension,strength,lower_back,beginner,3,18,97.9,18,137.8,Moderate,,Personal best!
WL00002665,MEM000046,2024-06-07,09:14:00,Biceps curl to shoulder press,strength,biceps,beginner,2,14,20.3,64,375.7,High,132.0,Good progress
WL00002666,MEM002082,2024-01-29,19:10:00,Bottoms Up,strength,abdominals,intermediate,4,11,68.8,54,296.6,Low,128.0,Personal best!
WL00002667,MEM001982,2024-07-28,07:26:00,Back extension,strength,lower_back,intermediate,3,16,144.9,34,106.4,Low,134.0,Personal best!
WL00002668,MEM002490,2024-12-12,07:57:00,Bottoms Up,strength,abdominals,intermediate,4,7,74.2,35,256.2,Low,108.0,Challenging but rewarding
WL00002669,MEM000451,2024-01-29,12:52:00,One-Arm Dumbbell Row,strength,middle_back,intermediate,5,12,148.4,82,623.9,Very High,117.0,Great workout!
WL00002670,MEM001725,2024-10-06,21:16:00,Glute ham raise-,strength,hamstrings,beginner,4,18,85.4,42,302.9,Low,139.0,Challenging but rewarding
WL00002671,MEM001461,2024-01-21,15:24:00,Cable V-bar push-down,strength,triceps,intermediate,4,17,71.2,35,250.5,High,149.0,
WL00002672,MEM000012,2024-05-22,17:26:00,Romanian Deadlift from Deficit,olympic_weightlifting,hamstrings,beginner,2,16,0.0,69,315.9,Very High,112.0,Good progress
WL00002673,MEM000182,2024-08-22,20:01:00,Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,forearms,beginner,2,7,124.2,32,102.2,Low,166.0,
WL00002674,MEM001733,2024-12-02,11:48:00,Single-arm kettlebell push-press,strength,shoulders,intermediate,2,17,54.0,82,560.9,High,172.0,Challenging but rewarding
WL00002675,MEM002271,2024-09-08,15:08:00,One-Arm Dumbbell Row,strength,middle_back,intermediate,3,18,142.5,67,262.1,High,158.0,Challenging but rewarding
WL00002676,MEM001456,2024-02-10,21:41:00,Keg Load,strongman,lower_back,beginner,4,6,0.0,45,177.2,High,168.0,Great workout!
WL00002677,MEM001389,2024-09-21,11:48:00,Dumbbell front raise to lateral raise,strength,shoulders,intermediate,5,7,78.1,81,542.9,Low,132.0,Felt strong today
WL00002678,MEM000890,2024-05-23,11:08:00,Single-arm cable triceps extension,strength,triceps,intermediate,3,8,90.9,78,444.7,Low,100.0,Great workout!
WL00002679,MEM000947,2024-05-03,05:36:00,Single-arm inverted row,strength,traps,intermediate,3,20,89.5,87,620.5,Low,135.0,Great workout!
WL00002680,MEM000253,2024-01-25,14:53:00,Smith Machine Calf Raise,strength,calves,intermediate,3,13,140.2,68,321.2,Low,113.0,Good progress
WL00002681,MEM001789,2024-01-22,16:28:00,Incline dumbbell bench press,strength,chest,intermediate,4,12,53.3,15,56.1,Very High,,Great workout!
WL00002682,MEM001312,2024-12-10,09:43:00,Dumbbell floor press,powerlifting,triceps,intermediate,2,15,0.0,56,339.0,Very High,177.0,Personal best!
WL00002683,MEM001329,2024-01-04,08:33:00,Dumbbell front raise to lateral raise,strength,shoulders,intermediate,4,12,33.0,23,158.4,Moderate,166.0,Challenging but rewarding
WL00002684,MEM000162,2024-05-16,18:05:00,Lateral box jump,plyometrics,adductors,intermediate,3,12,0.0,32,161.4,Very High,124.0,Challenging but rewarding
WL00002685,MEM000328,2024-08-15,19:20:00,Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,5,20,0.0,23,121.4,Moderate,176.0,Challenging but rewarding
WL00002686,MEM000450,2024-12-14,08:22:00,Chin To Chest Stretch,stretching,neck,intermediate,4,20,0.0,38,244.9,High,169.0,
WL00002687,MEM001370,2024-11-10,13:06:00,Isometric Neck Exercise - Sides,strength,neck,beginner,5,20,83.3,26,165.3,Moderate,133.0,Good progress
WL00002688,MEM002451,2024-03-24,06:50:00,Tire flip,strongman,quadriceps,intermediate,5,18,0.0,75,238.3,Very High,143.0,Good progress
WL00002689,MEM001403,2024-01-21,22:05:00,Low-cable cross-over,strength,chest,intermediate,4,12,28.6,52,375.1,Very High,156.0,Personal best!
WL00002690,MEM000308,2024-10-29,08:58:00,Snatch Deadlift,olympic_weightlifting,hamstrings,beginner,4,19,0.0,18,63.1,Moderate,,Personal best!
WL00002691,MEM001120,2024-08-24,10:01:00,Clean and press,strength,shoulders,intermediate,2,13,138.5,25,112.4,Low,130.0,Good progress
WL00002692,MEM001802,2024-11-15,07:59:00,UNS Foam Roll Adductor,strength,adductors,intermediate,4,9,85.1,37,212.0,High,102.0,Good progress
WL00002693,MEM001488,2024-07-18,11:50:00,Bottoms Up,strength,abdominals,intermediate,3,10,73.8,70,450.6,High,156.0,Felt strong today
WL00002694,MEM000939,2024-04-20,21:42:00,Isometric Neck Exercise - Sides,strength,neck,beginner,5,16,28.6,44,183.2,Low,130.0,Good progress
WL00002695,MEM001999,2024-06-12,14:51:00,Barbell glute bridge,powerlifting,glutes,intermediate,4,10,0.0,65,408.0,Moderate,122.0,Great workout!
WL00002696,MEM000238,2024-01-22,08:31:00,Barbell Deadlift,strength,hamstrings,intermediate,4,10,144.0,64,371.9,Very High,124.0,Great workout!
WL00002697,MEM000763,2024-08-29,21:54:00,EZ-bar spider curl,strength,biceps,intermediate,2,15,95.0,88,532.8,High,150.0,Challenging but rewarding
WL00002698,MEM002038,2024-08-02,16:07:00,HM Right Leg Swing,stretching,abductors,intermediate,2,13,0.0,17,101.7,Low,,Great workout!
WL00002699,MEM000339,2024-04-20,17:08:00,Seated Calf Raise - Gethin Variation,strength,calves,intermediate,4,12,110.7,35,160.7,Low,107.0,
WL00002700,MEM001936,2024-11-16,19:48:00,Barbell deficit deadlift,powerlifting,lower_back,beginner,2,8,0.0,82,256.6,High,147.0,Great workout!
WL00002701,MEM001980,2024-01-13,18:54:00,Wide-Grip Decline Barbell Bench Press,strength,chest,beginner,2,18,42.2,50,168.4,Very High,130.0,Great workout!
WL00002702,MEM001004,2024-07-10,10:01:00,Muscle Up,strength,lats,intermediate,5,20,27.7,62,320.5,Moderate,114.0,Challenging but rewarding
WL00002703,MEM001898,2024-06-12,05:20:00,Standing Calf Raises,strength,calves,beginner,3,19,138.6,42,244.5,Moderate,158.0,Great workout!
WL00002704,MEM002373,2024-03-01,05:42:00,Reverse Band Box Squat,powerlifting,quadriceps,intermediate,3,16,0.0,76,497.4,Very High,123.0,Great workout!
WL00002705,MEM002304,2024-12-09,11:53:00,Barbell Hip Thrust,powerlifting,glutes,intermediate,3,8,0.0,50,279.9,Moderate,129.0,
WL00002706,MEM002457,2024-08-26,20:39:00,Tire flip,strongman,quadriceps,intermediate,5,20,0.0,61,311.2,High,148.0,Challenging but rewarding
WL00002707,MEM001700,2024-10-06,14:32:00,One-Arm Long Bar Row,strength,middle_back,intermediate,4,9,125.5,50,179.2,High,119.0,Challenging but rewarding
WL00002708,MEM001810,2024-11-28,14:27:00,EZ-Bar Curl,strength,biceps,intermediate,2,20,75.6,60,322.9,High,167.0,Good progress
WL00002709,MEM001298,2024-12-12,10:17:00,Glute Bridge Hamstring Walkout,strength,glutes,intermediate,5,14,58.9,53,256.2,Moderate,157.0,Personal best!
WL00002710,MEM000547,2024-05-03,22:23:00,Chest dip,strength,chest,intermediate,4,12,83.0,31,224.4,Low,151.0,Good progress
WL00002711,MEM002499,2024-03-14,07:35:00,Dumbbell spell caster,strength,abdominals,beginner,3,16,80.6,41,189.9,Very High,161.0,Personal best!
WL00002712,MEM002014,2024-07-20,22:57:00,Lying Face Up Plate Neck Resistance,strength,neck,beginner,3,10,149.1,23,100.5,Very High,162.0,Challenging but rewarding
WL00002713,MEM000936,2024-06-02,07:01:00,Neck Bridge Prone,strength,neck,beginner,5,12,117.7,89,465.4,Moderate,108.0,Personal best!
WL00002714,MEM001382,2024-10-01,18:03:00,Side Leg Raises,stretching,adductors,beginner,5,19,0.0,37,203.0,Very High,169.0,Personal best!
WL00002715,MEM001467,2024-09-24,10:00:00,One-Arm Dumbbell Row,strength,middle_back,intermediate,5,13,101.8,51,339.3,High,103.0,
WL00002716,MEM002290,2024-06-15,07:25:00,T-Bar Row with Handle,strength,middle_back,intermediate,5,14,145.3,66,255.9,Moderate,133.0,Challenging but rewarding
WL00002717,MEM001274,2024-06-18,16:14:00,T-Bar Row,strength,middle_back,intermediate,2,14,109.6,55,377.3,Low,116.0,Great workout!
WL00002718,MEM001864,2024-05-30,21:41:00,Flexor Incline Dumbbell Curls,strength,biceps,beginner,2,16,129.5,81,293.8,Very High,179.0,Great workout!
WL00002719,MEM000498,2024-09-29,08:58:00,Reverse Band Box Squat,powerlifting,quadriceps,intermediate,5,16,0.0,80,410.9,High,155.0,Challenging but rewarding
WL00002720,MEM001269,2024-01-28,18:29:00,Dumbbell Flyes,strength,chest,intermediate,2,13,7.0,59,344.2,Low,113.0,
WL00002721,MEM002478,2024-06-20,07:47:00,Dynamic pigeon stretch,strength,abductors,intermediate,4,17,130.7,38,187.7,Moderate,133.0,Challenging but rewarding
WL00002722,MEM002347,2024-07-10,22:28:00,T-Bar Row with Handle,strength,middle_back,intermediate,4,8,104.8,61,402.1,Moderate,140.0,Great workout!
WL00002723,MEM001296,2024-07-13,10:10:00,Tire flip,strongman,quadriceps,intermediate,3,8,0.0,15,115.6,Very High,,
WL00002724,MEM000850,2024-03-04,09:05:00,Seated Dumbbell Press,strength,shoulders,intermediate,2,9,99.6,79,256.8,High,176.0,Personal best!
WL00002725,MEM002379,2024-01-27,15:52:00,Single Leg Push-off,plyometrics,quadriceps,beginner,2,17,0.0,83,354.4,High,146.0,Challenging but rewarding
WL00002726,MEM000459,2024-12-16,11:09:00,Power snatch-,olympic_weightlifting,quadriceps,expert,5,9,0.0,52,334.5,Moderate,129.0,Personal best!
WL00002727,MEM001972,2024-02-04,12:26:00,EZ-Bar Curl,strength,biceps,intermediate,3,8,149.2,23,132.2,Very High,174.0,
WL00002728,MEM002352,2024-05-14,17:38:00,T-Bar Row,strength,middle_back,intermediate,3,11,90.2,16,89.9,Very High,,Felt strong today
WL00002729,MEM002139,2024-03-11,18:09:00,One-Arm Long Bar Row,strength,middle_back,intermediate,5,20,50.8,49,332.5,Very High,113.0,
WL00002730,MEM001430,2024-04-07,14:25:00,Dumbbell floor press,powerlifting,triceps,intermediate,5,6,0.0,33,141.8,High,144.0,Personal best!
WL00002731,MEM001013,2024-10-04,05:36:00,Incline dumbbell bench press,strength,chest,intermediate,2,15,13.9,66,504.9,High,159.0,Personal best!
WL00002732,MEM000206,2024-04-11,15:32:00,Cable V-bar push-down,strength,triceps,intermediate,2,19,65.4,69,307.4,Very High,122.0,Good progress
WL00002733,MEM001831,2024-05-17,21:43:00,Neck-SMR,stretching,neck,intermediate,4,12,0.0,46,156.9,High,117.0,
WL00002734,MEM002133,2024-01-22,06:37:00,HM Straddle Stretch,stretching,abductors,intermediate,3,13,0.0,54,320.2,Low,110.0,Felt strong today
WL00002735,MEM000407,2024-03-11,08:08:00,Neck Bridge Prone,strength,neck,beginner,2,8,143.8,24,112.9,High,110.0,Felt strong today
WL00002736,MEM001252,2024-07-15,08:45:00,Tire flip,strongman,quadriceps,intermediate,4,6,0.0,56,249.4,Very High,142.0,Felt strong today
WL00002737,MEM001413,2024-04-27,19:31:00,Shotgun row,strength,lats,intermediate,5,6,5.2,83,605.7,Very High,147.0,Great workout!
WL00002738,MEM000740,2024-11-10,18:01:00,Alternating sit-through with crunch,strength,middle_back,intermediate,2,18,11.7,37,140.3,Very High,130.0,Good progress
WL00002739,MEM001117,2024-08-25,22:19:00,Glute bridge,strength,glutes,intermediate,4,9,28.3,74,575.4,Very High,134.0,
WL00002740,MEM001005,2024-04-22,11:08:00,Hip Circles (Prone),stretching,abductors,intermediate,2,18,0.0,22,155.9,Moderate,129.0,Personal best!
WL00002741,MEM001521,2024-12-05,20:15:00,Dumbbell Bench Press,strength,chest,intermediate,4,18,42.3,72,473.5,Low,145.0,Personal best!
WL00002742,MEM000757,2024-06-24,18:34:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,3,7,95.0,50,340.5,Moderate,117.0,Good progress
WL00002743,MEM001472,2024-04-15,07:09:00,Agility Ladder,cardio,calves,intermediate,2,20,0.0,32,204.9,High,146.0,Personal best!
WL00002744,MEM002167,2024-09-13,22:07:00,Natural Glute Ham Raise,strength,hamstrings,beginner,3,17,94.4,41,127.3,High,114.0,Felt strong today
WL00002745,MEM000068,2024-06-17,19:31:00,Dumbbell spell caster,strength,abdominals,beginner,5,6,101.1,72,541.1,Moderate,138.0,Good progress
WL00002746,MEM000533,2024-06-24,19:04:00,Standing Dumbbell Calf Raise,strength,calves,intermediate,4,17,124.7,75,347.2,Low,129.0,Great workout!
WL00002747,MEM001458,2024-07-10,06:08:00,Single-leg cable hip extension,strength,glutes,intermediate,5,18,81.3,77,312.2,High,120.0,Challenging but rewarding
WL00002748,MEM001982,2024-05-31,13:27:00,Muscle Up,strength,lats,intermediate,4,15,110.2,69,512.7,High,147.0,Personal best!
WL00002749,MEM001686,2024-04-19,05:12:00,Agility Ladder,cardio,calves,intermediate,2,18,0.0,16,112.0,High,,Personal best!
WL00002750,MEM002497,2024-12-13,10:44:00,FYR Thigh Killa,strength,abductors,intermediate,4,14,108.2,32,156.5,Very High,144.0,Great workout!
WL00002751,MEM001258,2024-04-05,10:07:00,Bottoms Up,strength,abdominals,intermediate,5,16,15.3,34,168.1,Low,122.0,Felt strong today
WL00002752,MEM000331,2024-10-08,21:53:00,Rickshaw Carry,strongman,forearms,beginner,5,19,0.0,35,267.6,Low,162.0,Felt strong today
WL00002753,MEM002147,2024-08-10,20:02:00,Barbell deficit deadlift,powerlifting,lower_back,beginner,5,20,0.0,54,315.7,Very High,179.0,Good progress
WL00002754,MEM000985,2024-10-23,17:42:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,2,17,111.4,29,168.7,High,128.0,
WL00002755,MEM002407,2024-12-04,05:11:00,Lateral Band Walk,strength,abductors,intermediate,3,11,65.0,39,230.3,Low,109.0,Great workout!
WL00002756,MEM001752,2024-09-17,09:11:00,Alternating sit-through with crunch,strength,middle_back,intermediate,5,6,104.5,15,48.0,Moderate,,Great workout!
WL00002757,MEM000201,2024-07-02,12:36:00,Incline dumbbell reverse fly,strength,shoulders,intermediate,3,8,113.7,20,114.2,High,,Challenging but rewarding
WL00002758,MEM002110,2024-01-26,08:53:00,Barbell Deadlift,strength,hamstrings,intermediate,2,10,66.6,24,173.9,Low,111.0,Good progress
WL00002759,MEM000919,2024-08-28,08:49:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,3,10,122.3,60,449.1,Low,162.0,Felt strong today
WL00002760,MEM000290,2024-10-17,17:32:00,HM Left Leg Swing,strength,adductors,intermediate,2,18,61.9,56,184.3,High,159.0,
WL00002761,MEM002371,2024-08-07,05:15:00,Close-grip pull-down,strength,lats,intermediate,2,8,72.4,40,144.2,High,106.0,Felt strong today
WL00002762,MEM001660,2024-06-05,19:50:00,Close-grip pull-down,strength,lats,intermediate,4,6,62.1,40,145.3,Low,144.0,Felt strong today
WL00002763,MEM001038,2024-05-20,13:49:00,Side-To-Side Adductor Stretch,strength,adductors,intermediate,2,16,145.7,69,416.9,High,155.0,Good progress
WL00002764,MEM002275,2024-07-14,13:26:00,Stair climber,cardio,quadriceps,intermediate,5,12,0.0,74,368.7,Low,135.0,Felt strong today
WL00002765,MEM000982,2024-09-15,08:13:00,Pushups,strength,chest,intermediate,4,6,7.5,16,115.0,Very High,,Good progress
WL00002766,MEM000998,2024-04-07,20:15:00,Isometric Neck Exercise - Front And Back,strength,neck,beginner,5,14,44.3,27,83.3,Moderate,124.0,Felt strong today
WL00002767,MEM000109,2024-03-16,12:30:00,Lying Face Up Plate Neck Resistance,strength,neck,beginner,4,19,109.9,84,541.7,Very High,121.0,
WL00002768,MEM000654,2024-03-13,15:17:00,Military press,strength,shoulders,intermediate,3,17,39.1,57,183.7,Low,160.0,Challenging but rewarding
WL00002769,MEM002230,2024-07-26,18:05:00,Romanian Deadlift With Dumbbells,strength,hamstrings,beginner,4,13,83.2,68,543.6,Low,106.0,Great workout!
WL00002770,MEM000274,2024-01-10,08:33:00,Neck-SMR,stretching,neck,intermediate,4,15,0.0,26,188.8,Very High,120.0,
WL00002771,MEM002288,2024-05-17,11:19:00,Shotgun row,strength,lats,intermediate,5,15,114.1,42,257.4,Low,136.0,Great workout!
WL00002772,MEM000566,2024-03-06,12:05:00,T-Bar Row with Handle,strength,middle_back,intermediate,5,15,98.1,64,500.4,High,144.0,
WL00002773,MEM001459,2024-06-28,15:29:00,Triceps dip,strength,triceps,intermediate,2,16,7.7,76,368.8,High,112.0,
WL00002774,MEM001983,2024-04-18,22:08:00,Lying Face Down Plate Neck Resistance,strength,neck,beginner,2,14,139.7,43,287.1,Moderate,162.0,Great workout!
